id,nome,link,ativo,Atualizar,Motivo,Novo Link,Comentário Outros
301,LIGA PONTOS,http://mdmat.mat.ufrgs.br/anos_iniciais/objetos/liga_pontos.htm,TRUE,Sim,Flash,,
302,LÓGICA MATEMÁTICA - ANIMAIS,http://www.soplaar.com/jogos_educativos_2/logica_matematica_animais/index.php,TRUE,Sim,Link quebrado,,
303,LOUCA CORRIDA DE MATEMÁTICA,http://www.atividadesdematematica.com/jogos-de-adicao-e-subtracao/louca-corrida-de-matematica,TRUE,Sim,Flash,,
304,MÁQUINA DE CAFÉ,http://mdmat.mat.ufrgs.br/anos_iniciais/objetos/maquina.htm,TRUE,Sim,Flash,,
305,MATRIZES E TRANSIÇÕES DE IMAGENS,http://www.uff.br/cdme/matrix/matrix-html/matrix_morph/matrix_morph_br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/matrix/matrix-html/matrix_morph/matrix_morph_br.html,
306,MÉDIA ARITMÉTICA – MODELO DE PESO,http://teca.cecierj.edu.br/popUpVisualizar.php?id=50634,FALSE,Não,,,
307,MEDINDO CONTORNO,http://www.hypatiamat.com/calcular_perimetros_web.php,TRUE,Não,,,
308,MEMÓRIA GEOMÉTRICA,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/10469/Figuras_Geom%C3%A9tricas.swf?sequence=1,TRUE,Sim,Flash,,
309,MINA DOS NÚMEROS DECIMAIS,http://matematicazup.com.br/jogos-de-matematica-numeros-decimais/,TRUE,Sim,Flash,,
310,MULTIPLICAÇÃO E DIVISÃO COM MILHARES,http://escola.britannica.com.br/resources/lm/GM_5_3/GM_5_3.htm,FALSE,Não,,,
311,NO MERCADO MÁGICO,http://www.soplaar.com/jogos_educativos_2/nave_sucessor_antecessor/index.php,TRUE,Sim,Link quebrado,,
312,NÚMEROS DECIMAIS IGUAIS OU NÃO?,http://escola.britannica.com.br/resources/lm/GM_5_24/GM_5_24.htm,FALSE,Não,,,
313,NÚMEROS DECIMAIS NA RETA NUMÉRICA 1,http://pt.khanacademy.org/math/arithmetic/arith-decimals/arith-review-decimals-number-line/e/decimals_on_the_number_line_1,TRUE,Não,,,
314,O NÚMERO DE OURO EM DESENHOS E PINTURAS: VERDADE OU MENTIRA?,http://www.uff.br/cdme/rza/rza-html/rza-paintings-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/rza/rza-html/rza-paintings-br.html,
315,PASTIMES,http://www.gringene.org/pastimes.html,TRUE,Não,,,
316,PAVIMENTAÇÃO DO PLANO COM POLÍGONOS REGULARES DE UM SÓ TIPO,http://www.uff.br/cdme/ppr/ppr-html/ppr-mt-br.html,FALSE,Sim,Novo Link,http://www.cdme.im-uff.mat.br/ppr/ppr-html/ppr-mt-br.html,
317,PIDMAS BLASTER LITE,http://www.mangahigh.com/pt-br/games/bidmasblasterlite,TRUE,Sim,Link quebrado,,
318,PORCENTAGENS,http://escola.britannica.com.br/resources/lm/GM_6_25/GM_6_25.htm,FALSE,Não,,,
319,POSICIONE O BESOURO,http://resources.oswego.org/games/BillyBug2/bug2.html,FALSE,Não,,,
320,RAPID MATH,http://www.mindgames.com/game/Rapid+Math,TRUE,Não,,,
321,REDUÇÃO DE FRAÇÕES,http://escola.britannica.com.br/resources/lm/GM_4_18/GM_4_18.htm,FALSE,Não,,,
322,RESOLUÇÃO PASSO A PASSO – EQUAÇÃO DE 2º GRAU,http://www.profcardy.com/exercicios/passo-a-passo-quadratica.php,TRUE,Não,,,
323,SUDOKU,http://rachacuca.com.br/logica/sudoku/,TRUE,Não,,,
324,TABUADA DO DINO,http://www.atividadesdematematica.com/jogar-jogos-de-matematica/jogo-tabuada-do-dino,TRUE,Não,,,
325,TANGRAM,http://rachacuca.com.br/raciocinio/tangram/,TRUE,Não,,,
326,THE WRECKS FACTOR,http://www.mangahigh.com/pt-br/games/wrecksfactor,TRUE,Não,,,
327,TIPOS DE TRIÂNGULO,http://www.mangahigh.com/pt-br/jogos_matematicos/formas/triangulos/tipos_de_triangulo,FALSE,Não,,,
